round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,losses,optimizer
100,0.27127504348754883,1.0,0.2219097912311554,1.0,relu,3,0.2,100,32,2,binary_crossentropy,Adam
100,0.19947989284992218,1.0,0.13063299655914307,1.0,relu,3,0.2,100,64,0,binary_crossentropy,Adam
100,0.23696286976337433,1.0,0.23886914551258087,1.0,relu,3,0.2,100,64,1,binary_crossentropy,Adam
100,0.21660897135734558,1.0,0.16513293981552124,1.0,relu,3,0.2,100,64,2,binary_crossentropy,Adam
100,0.6449713110923767,0.6666666865348816,0.6809409856796265,0.6000000238418579,relu,4,0.2,100,4,0,binary_crossentropy,Adam
100,0.6141754388809204,0.6666666865348816,0.6063381433486938,0.6000000238418579,relu,4,0.2,100,4,1,binary_crossentropy,Adam
100,0.6620635986328125,0.6666666865348816,0.6769293546676636,0.6000000238418579,relu,4,0.2,100,4,2,binary_crossentropy,Adam
100,0.5111753940582275,0.6666666865348816,0.27113795280456543,1.0,relu,4,0.2,100,8,0,binary_crossentropy,Adam
100,0.48920494318008423,0.6666666865348816,0.34371432662010193,0.800000011920929,relu,4,0.2,100,8,1,binary_crossentropy,Adam
100,0.6450600028038025,0.800000011920929,0.6017548441886902,1.0,relu,4,0.2,100,8,2,binary_crossentropy,Adam
100,0.3506763279438019,0.8666666746139526,0.2112383395433426,1.0,relu,4,0.2,100,16,0,binary_crossentropy,Adam
100,0.2362758070230484,0.9333333373069763,0.145590141415596,1.0,relu,4,0.2,100,16,1,binary_crossentropy,Adam
100,0.4495088458061218,0.8666666746139526,0.2633131742477417,1.0,relu,4,0.2,100,16,2,binary_crossentropy,Adam
100,0.3085269331932068,0.8666666746139526,0.2051575928926468,1.0,relu,4,0.2,100,32,0,binary_crossentropy,Adam
100,0.3281792402267456,0.8666666746139526,0.22946932911872864,1.0,relu,4,0.2,100,32,1,binary_crossentropy,Adam
100,0.2901495695114136,0.8666666746139526,0.23619191348552704,1.0,relu,4,0.2,100,32,2,binary_crossentropy,Adam
100,0.281814306974411,0.8666666746139526,0.2138340026140213,1.0,relu,4,0.2,100,64,0,binary_crossentropy,Adam
100,0.26985058188438416,0.9333333373069763,0.21652230620384216,1.0,relu,4,0.2,100,64,1,binary_crossentropy,Adam
100,0.27045053243637085,0.9333333373069763,0.22032153606414795,1.0,relu,4,0.2,100,64,2,binary_crossentropy,Adam
100,0.5124930143356323,0.7333333492279053,0.5214983224868774,0.800000011920929,relu,5,0.2,100,4,0,binary_crossentropy,Adam
100,0.6672033071517944,0.6666666865348816,0.6791236996650696,0.6000000238418579,relu,5,0.2,100,4,1,binary_crossentropy,Adam
100,0.7982231974601746,0.5333333611488342,1.0772356986999512,0.4000000059604645,relu,5,0.2,100,4,2,binary_crossentropy,Adam
100,0.48193061351776123,0.800000011920929,0.18155011534690857,1.0,relu,5,0.2,100,8,0,binary_crossentropy,Adam
100,0.5926764607429504,0.7333333492279053,0.5048502087593079,0.800000011920929,relu,5,0.2,100,8,1,binary_crossentropy,Adam
100,0.49686625599861145,0.6666666865348816,0.28684002161026,1.0,relu,5,0.2,100,8,2,binary_crossentropy,Adam
