"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FANCB",115.768425441985,1.33379302835328,0.386598185305105,3.45007576096262,0.000560429251809959,0.0430821119777453
"PTGS1",3228.65273501686,-1.43595077595582,0.416519253553096,-3.44750155894719,0.000565797141838148,0.0431381361796812
"NOS1",160.754263133762,-2.03655268731745,0.590740813489234,-3.44745553517536,0.000565893547776706,0.0431381361796812
"CLEC12A",73.7370757348119,1.13086754523445,0.328231534859219,3.44533484791304,0.000570352377211486,0.0432968748350669
"TAS2R13_68",1.94206393982783,3.18943130704295,0.926320957788526,3.44311685947095,0.000575050772231466,0.0433357565462155
"IFITM5",4.9993875622621,3.19340730628718,0.927646346584759,3.44248356935171,0.000576398878457271,0.0433357565462155
"RBM48",517.840471740145,0.337622360979314,0.0980966151335142,3.44173303553638,0.000578000375472329,0.0433357565462155
"PTPN4",858.206057011941,0.756929368768086,0.220514361581286,3.43256268362851,0.000597905650532569,0.0444337117026902
"METTL6",325.536606943484,0.379330124927562,0.110515726299784,3.43236331722232,0.000598345400886484,0.0444337117026902
"PPBP",41.4067349523421,-2.05329497442955,0.598343589260105,-3.43163194406178,0.000599961198686085,0.0444337117026902
"C2orf49",957.082946794463,0.453726162636193,0.132310049698125,3.42926454695923,0.000605219299717858,0.0446416616257476
"SNHG29",16644.0792826141,0.872531720453347,0.254871104196666,3.42342347204678,0.000618376608411566,0.0452789554964452
"MFSD14C",121.812783910553,0.631342795867332,0.184429277963869,3.42322435373312,0.000618829788606118,0.0452789554964452
"FOXF1",1374.3246210735,-0.930893007721208,0.272480296294718,-3.41636815718353,0.000634623857903113,0.0462488482685473
"APOC1",792.730198542697,1.18490828311717,0.347078059770405,3.41395328734117,0.000640275524802309,0.0464748198660289
"DGKH",1772.8976114987,1.07119069214871,0.313994493810115,3.41149514805346,0.000646076511308926,0.0465919321647761
"IGHV1-24",527.700470928517,-1.68709445874147,0.494629581908735,-3.41082401952409,0.000647668787662907,0.0465919321647761
"H3C12",8.92372191333525,2.32917014797764,0.683035392754442,3.41002848854569,0.000649560940219174,0.0465919321647761
"ABRAXAS1",420.680355806676,0.560413894874819,0.164471361911537,3.40736459138852,0.000655934455473962,0.0468645876246279
"PLCG2",947.827434123469,-0.953066113784729,0.280040163236791,-3.40331937665261,0.000665724135506825,0.0473782344718705
"TIA1",2864.43400566108,0.581804207582066,0.17109195036475,3.40053524634981,0.000672540649321875,0.0476771131906429
"LRRN3",107.862661855089,1.5972662074637,0.470264105935432,3.39653013552136,0.000682460421991221,0.0481928156134033
"SLC5A3",1860.97795671229,0.925922445251582,0.272717969057573,3.39516478672555,0.000685873056850147,0.0482468000878488
"CHORDC1_2093",1424.34032475941,0.794560314130378,0.234165077037692,3.39316316583998,0.000690904709197966,0.0484138188341452
"PLAG1",141.986166322514,1.06458495276693,0.313923130227734,3.39122813917737,0.000695801553602742,0.0485701475290742
"ZNF451",1625.09873507245,0.752643122576281,0.2220211129487,3.38996193911607,0.000699023280777103,0.0485803151874645
"LYPLA1",4547.33421388019,0.620032097198758,0.182950072249997,3.38907817621137,0.000701280141297721,0.0485803151874645
"ALG10",183.585213076615,0.840531865319233,0.248117541200445,3.3876358005668,0.000704978077208059,0.0486514984418698
"PABIR3",128.182087662998,0.697662104864489,0.206068814773115,3.38557828671275,0.000710284460687784,0.048832726751965
"GUSBP1",166.778073261728,0.663981770042859,0.196515180312347,3.37878106407611,0.00072807965497817,0.0498679820828845
"SLC10A1",14.3296514775164,1.65173612212009,0.489077677600011,3.37724700547661,0.000732152706345628,0.0499591391644606
